,0
0,BWA
1,HKG
2,MAC
3,MNG
4,NGA
5,SGP
6,TWN
7,IDN
8,CHN
9,BRN
10,MMR
11,JPN
12,TKM
13,MYS
14,NPL
15,GUY
16,KEN
17,OMN
18,UGA
19,COL
20,GTM
21,PAN
22,RWA
23,TJK
24,UZB
25,BGD
26,BMU
27,BRB
28,CAN
29,GAB
30,KGZ
31,SRB
32,ARE
33,ARG
34,BHR
35,FRA
36,ISL
37,ITA
38,KWT
39,POL
40,PRY
41,SLV
42,ZAF
43,CZE
44,DEU
45,GHA
46,MDA
47,PHL
48,QAT
49,TUR
50,AUS
51,IND
52,VNM
53,ECU
54,LKA
55,PRT
56,FIN
57,GIN
58,HRV
59,ISR
60,PNG
61,ROU
62,SVK
63,ZWE
64,BEL
65,CUB
66,GEO
67,SDN
68,BRA
69,LBR
70,SYC
71,AZE
72,PRI
73,RUS
74,SAU
75,TLS
76,TTO
77,BIH
78,ESP
79,JAM
80,KOR
81,NOR
82,PAK
83,BDI
84,BEN
85,SYR
86,GBR
87,NZL
88,USA
89,BGR
90,CRI
91,IRL
92,CPV
93,MRT
94,AGO
95,SLB
96,GMB
97,GUM
98,LBN
99,MOZ
100,MWI
101,ALB
102,BLZ
103,IRQ
104,COD
105,IRN
106,NIC
107,ZMB
108,PSE
109,SMR
110,AUT
111,SSD
112,CHE
113,GRC
114,LTU
115,DNK
116,HUN
117,MEX
118,VEN
119,SWZ
120,AFG
121,NAM
122,DOM
123,GRL
124,HND
125,COG
126,UKR
127,LSO
128,MAR
129,SVN
130,TUN
131,CYP
132,DZA
133,JOR
134,LUX
135,PER
136,BTN
137,NLD
138,THA
139,TCD
140,RKS
141,SWE
142,BOL
143,LAO
144,BFA
145,CIV
146,EST
147,HTI
148,KAZ
149,AND
150,CMR
151,NER
152,SUR
153,URY
154,BLR
155,CAF
156,CHL
157,LBY
158,SEN
159,SOM
160,TZA
161,ABW
162,EGY
163,MDG
164,ETH
165,SLE
166,YEM
167,DJI
168,MLI
169,MUS
170,DMA
