date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-05 23:54:09,50trends_es,,0,0,0,"[ Trending Topics ES 00:51 ]pic.twitter.com/ke7WS6bGgk",,,,1213971979247738882,https://twitter.com/50trends_es/status/1213971979247738882
2020-01-05 22:54:09,50trends_es,,0,0,0,"[ Trending Topics ES 23:51 ] => Chimypic.twitter.com/FjfnNvnKtz",,,,1213956879870824449,https://twitter.com/50trends_es/status/1213956879870824449
2020-01-05 21:54:08,50trends_es,,0,0,0,"[ Trending Topics ES 22:51 ] => Chimy Ávilapic.twitter.com/DbnOvMHgna",,,,1213941779747213315,https://twitter.com/50trends_es/status/1213941779747213315
2020-01-05 20:54:09,50trends_es,,0,0,1,"[ Trending Topics ES 21:46 ] => Munir => Melchor => #CuartoMileniopic.twitter.com/ncdeYacTWs",,,#CuartoMileniopic,1213926681402101760,https://twitter.com/50trends_es/status/1213926681402101760
2020-01-05 19:54:09,50trends_es,,0,0,0,"[ Trending Topics ES 20:46 ] => Feliz Noche de Reyes => Luis Parra => Taysom Hillpic.twitter.com/CfZL77JxU5",,,,1213911582683680771,https://twitter.com/50trends_es/status/1213911582683680771
2020-01-05 18:54:08,50trends_es,,0,0,0,"[ Trending Topics ES 19:49 ] => #CabalgataRTVE => Baltasar => Everton => Guaidópic.twitter.com/8CVBZjVJxG",,,#CabalgataRTVE,1213896480706183170,https://twitter.com/50trends_es/status/1213896480706183170
2020-01-05 17:54:09,50trends_es,,0,0,0,"[ Trending Topics ES 18:49 ] => Curtis Jones => #Cabalgatapic.twitter.com/BCikvSZL7S",,,#Cabalgatapic,1213881383988412418,https://twitter.com/50trends_es/status/1213881383988412418
2020-01-05 16:54:09,50trends_es,,0,0,0,"[ Trending Topics ES 17:49 ]pic.twitter.com/6K4oXK0EtH",,,,1213866284741468162,https://twitter.com/50trends_es/status/1213866284741468162
2020-01-05 15:54:09,50trends_es,,0,1,0,"[ Trending Topics ES 16:49 ] Bildu ha sido la tendencia nº 1 las últimas 6 horas pic.twitter.com/D4bxIbWSa8",,,,1213851184144035845,https://twitter.com/50trends_es/status/1213851184144035845
2020-01-05 14:54:09,50trends_es,,1,0,0,"[ Trending Topics ES 15:49 ] => #debatedeinvestidura => Cazorla => Zubeldia => Irene Monteropic.twitter.com/RAWdZrMp2y",,,#debatedeinvestidura,1213836084972597251,https://twitter.com/50trends_es/status/1213836084972597251
2020-01-05 13:54:08,50trends_es,,0,0,0,"[ Trending Topics ES 14:49 ] => Alberto Garzón => Willian José => Numanciapic.twitter.com/9jBgoNzK1o",,,,1213820982789582848,https://twitter.com/50trends_es/status/1213820982789582848
2020-01-05 12:54:08,50trends_es,,0,0,0,"[ Trending Topics ES 13:49 ] => Consumopic.twitter.com/eTxcntkZ0X",,,,1213805883664281601,https://twitter.com/50trends_es/status/1213805883664281601
2020-01-05 11:54:08,50trends_es,,0,0,0,"[ Trending Topics ES 12:49 ] => sergio sayaspic.twitter.com/7OMS9l3b8H",,,,1213790784878792705,https://twitter.com/50trends_es/status/1213790784878792705
2020-01-05 10:54:09,50trends_es,,0,0,0,"[ Trending Topics ES 11:49 ] => Adriana Lastra => Mertxe Aizpurua => Suárez Illanapic.twitter.com/ex3NfsP7eL",,,,1213775688232296448,https://twitter.com/50trends_es/status/1213775688232296448
2020-01-05 09:54:09,50trends_es,,0,0,0,"[ Trending Topics ES 10:49 ] 6 nuevas entradas en la lista de tendenciaspic.twitter.com/d0kjqC4Kyn",,,,1213760587018244098,https://twitter.com/50trends_es/status/1213760587018244098
2020-01-05 08:54:08,50trends_es,,0,0,0,"[ Trending Topics ES 09:49 ] 7 nuevas entradas en la lista de tendenciaspic.twitter.com/UhgqDoBDQs",,,,1213745485107933185,https://twitter.com/50trends_es/status/1213745485107933185
2020-01-05 07:54:08,50trends_es,,0,0,0,"[ Trending Topics ES 08:49 ] => Universidades => #njwk14pic.twitter.com/P44A8848mY",,,#njwk14pic,1213730387203153920,https://twitter.com/50trends_es/status/1213730387203153920
2020-01-05 06:54:09,50trends_es,,0,0,0,"[ Trending Topics ES 07:44 ] Watson rápidamente escaló al puesto nº 8 pic.twitter.com/JhdYNXyKkS",,,,1213715288535031808,https://twitter.com/50trends_es/status/1213715288535031808
2020-01-05 05:54:09,50trends_es,,1,4,4,"[ Trending Topics ES 06:49 ] #RIPGreta ha sido la tendencia nº 1 las últimas 4 horas pic.twitter.com/qM2hqxVi5p",,,#RIPGreta,1213700189711740928,https://twitter.com/50trends_es/status/1213700189711740928
2020-01-05 04:54:09,50trends_es,,0,0,0,"[ Trending Topics ES 05:49 ] => Patriots => Edelman => Foxboropic.twitter.com/RNz2nc32Yi",,,,1213685090301206529,https://twitter.com/50trends_es/status/1213685090301206529
2020-01-05 03:54:08,50trends_es,,0,0,0,"[ Trending Topics ES 04:49 ] => watsonpic.twitter.com/N9RmpZIwaq",,,,1213669988009205761,https://twitter.com/50trends_es/status/1213669988009205761
2020-01-05 02:54:08,50trends_es,,0,0,0,"[ Trending Topics ES 03:49 ] => Derrick Henrypic.twitter.com/wwxjmloktY",,,,1213654888015704066,https://twitter.com/50trends_es/status/1213654888015704066
2020-01-05 01:54:08,50trends_es,,0,0,0,"[ Trending Topics ES 02:49 ] => #NFLPlayoffspic.twitter.com/cGvKZaMvM3",,,#NFLPlayoffspic,1213639789645316096,https://twitter.com/50trends_es/status/1213639789645316096
2020-01-05 00:54:09,50trends_es,,0,0,0,"[ Trending Topics ES 01:44 ] => texans => Rafa Morapic.twitter.com/jTyWyexrI5",,,,1213624690918514689,https://twitter.com/50trends_es/status/1213624690918514689
