date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-02-17 23:59:53,angelbboyd,NTN24ve,0,0,1,"a estos fracasados quien los catalogó de ""influencers"" a @LinaresRichard y @vanessasenior promueven el acoso en las redes a 1 mujer,arremeten con su trabajo y atentan con la supervivencia de un ave en peligro de extinción si este país fuese normal estarían llorando en una celda https://twitter.com/NTN24ve/status/1229394637854474240 …",,@LinaresRichard @vanessasenior,,1229556100623716352,https://twitter.com/angelbboyd/status/1229556100623716352
2020-02-17 23:58:32,ZADETTA,PepoWoodz,2,0,1,"Pues a mí nunca me pusieron las esposas, ni me metieron a la celda. Pero si terminé en el cuartel escoltada por la policía y tuve que estar varias horas allí en lo que al pana se le bajaba la nota. Yo era la menos ebria de todos.",,,,1229555764294975494,https://twitter.com/ZADETTA/status/1229555764294975494
2020-02-17 23:58:26,ManuelSuarezQ,Gbastidas,0,2,14,"Diosdado dice que ni él ni Tarek El Aissami negociarian con EEUU. Que alguien le diga que la DEA lo busca es para meterlo en un celda 2 x 2 por el resto de su puta vida.",,,,1229555737266982912,https://twitter.com/ManuelSuarezQ/status/1229555737266982912
2020-02-17 23:58:10,ardima1709,Notidiahora,0,0,1,"Con esa arrastrada frente al carcelero..tiene asegurada una celda VIP en la Venezuela socialista. Por ahora... https://twitter.com/Notidiahora/status/1229553064316743682 …",,,,1229555668937564161,https://twitter.com/ardima1709/status/1229555668937564161
2020-02-17 23:56:58,MarthaCajigas,,1,12,55,"Debemos sacar nombres, ubicarles, presionarles y cuestionarles sus actividades, que sientan la presión. Desde las fiscalías que no investigan, los ministerios que no atienden, los penales que encierran a una mujer en una celda con hombres.",,,,1229555367765516289,https://twitter.com/MarthaCajigas/status/1229555367765516289
2020-02-17 23:51:42,angelme71185306,JLozanoA,0,0,0,"Y que pruebas tienes para demostrar su inocencia,acaso sabes algo,xq no te presentar a declarar,los corruptos no son perseguidos políticos no seas pndjo,tú también deberías estar en una celda. @CiroGomezL @CarlosLoret @CharroPolitico @QuesaVerdades",,@CiroGomezL @CarlosLoret @CharroPolitico @QuesaVerdades,,1229554043304976386,https://twitter.com/angelme71185306/status/1229554043304976386
2020-02-17 23:48:31,DCh071262,GracedeSantaF,0,0,1,"Compartirá celda con su hijo Pipo?",,,,1229553243518271490,https://twitter.com/DCh071262/status/1229553243518271490
2020-02-17 23:42:24,machoteprietote,LuiggyCorleone,1,0,0,"y dices que no eres defensor del welito ya salio el peine jajajajaja vete a leer la constitucion de mucho te va a servir cuando los polis te peguen una putisa que no tienes para pagar te vas a pudrir en una celda",,,,1229551701599739904,https://twitter.com/machoteprietote/status/1229551701599739904
2020-02-17 23:40:09,rudyaldana,Chestuardo,1,0,1,"Jajajajajajajja jajajajajajaj Le tocó la celda de los huecos y con algo tenía que safarse la violada.",,,,1229551137772228608,https://twitter.com/rudyaldana/status/1229551137772228608
2020-02-17 23:37:36,jvivassantana,,0,7,5,"Ahora si podemos decir que @irisvarela está cumpliendo al decir que tenemos ""el mejor sistema penitenciario del mundo"". Vean el uniforme de la ""´privada de libertad"" Aida Merlano, maquillaje, así como muebles y plantas de la ""celda"" en donde además recibe visitas y periodistas. pic.twitter.com/mxcWmPG4xt",,@irisvarela,,1229550495926190087,https://twitter.com/jvivassantana/status/1229550495926190087
2020-02-17 23:32:22,Erik_Silverfang,Erik_Silverfang,1,0,0,"< deseado. Nada, ni rastro. La hora había llegado, al igual que el ascensor. Al tiempo que la bruja salía para ir a la celda del vampiro, un hombre entraba en el aparato. Su traje era perfectamente negro, impecable, limpio. En su rostro, una >",,,,1229549176981245957,https://twitter.com/Erik_Silverfang/status/1229549176981245957
2020-02-17 23:31:43,Erik_Silverfang,Erik_Silverfang,1,0,0,"< abrió los ojos, sorprendido por aquello. ¿Una gotera? no tenía sentido, y menos tan repentina. Cuando volvió a escuchar una gota caer, su mirada se clavó en la zona del impacto. Allí, en medio de la celda, una mancha del color que tiene el >",,,,1229549012841377792,https://twitter.com/Erik_Silverfang/status/1229549012841377792
