tweet,weight,duration,date
COVID,-1,105,20-03-20
COVID,36539,60,20-03-20
COVID,38611,15,20-03-20
COVID,-1,60,20-03-21
COVID,78994,60,20-03-21
COVID,39733,255,20-03-21
COVID,68752,300,20-03-21
COVID,34409,375,20-03-21
COVID,50778,150,20-03-22
COVID,240733,240,20-03-22
COVID,40878,480,20-03-22
COVID,22114,405,20-03-22
COVID,236774,300,20-03-22
COVID,50585,45,20-03-22
COVID,22034,75,20-03-22
COVID,20545,150,20-03-22
COVID,14487,60,20-03-22
COVID,-1,165,20-03-22
COVID,191304,150,20-03-22
COVID,28880,435,20-03-22
COVID,64562,255,20-03-22
COVID,177506,435,20-03-23
COVID,151690,630,20-03-23
COVID,127518,720,20-03-23
COVID,31989,105,20-03-23
COVID,137649,525,20-03-23
COVID,-1,45,20-03-23
COVID,70969,135,20-03-23
COVID,24516,90,20-03-23
COVID,-1,45,20-03-23
COVID,69242,15,20-03-23
COVID,85279,210,20-03-24
COVID,41247,300,20-03-24
COVID,155555,60,20-03-24
COVID,226577,1080,20-03-24
COVID,128684,480,20-03-24
COVID,74276,195,20-03-24
COVID,62861,255,20-03-24
COVID,46257,420,20-03-24
COVID,47153,210,20-03-24
COVID,-1,15,20-03-24
COVID,47551,15,20-03-24
COVID,144368,195,20-03-25
COVID,111620,270,20-03-25
COVID,57218,15,20-03-25
COVID,135222,60,20-03-25
COVID,66486,285,20-03-25
COVID,46989,30,20-03-25
COVID,225164,300,20-03-25
COVID,164546,225,20-03-25
COVID,20818,255,20-03-26
COVID,43891,285,20-03-26
COVID,15691,360,20-03-26
COVID,69388,375,20-03-26
COVID,36854,30,20-03-26
COVID,26181,165,20-03-26
COVID,31769,45,20-03-26
COVID,36123,105,20-03-27
COVID,239156,30,20-03-27
COVID,61720,45,20-03-27
COVID,274482,975,20-03-27
COVID,17787,240,20-03-27
COVID,191809,120,20-03-27
COVID,14111,255,20-03-27
COVID,37132,285,20-03-27
COVID,184311,600,20-03-28
COVID,64286,510,20-03-28
COVID,60656,390,20-03-28
COVID,45871,195,20-03-28
COVID,12094,330,20-03-29
COVID,84884,810,20-03-29
COVID,-1,15,20-03-29
COVID,20747,450,20-03-29
COVID,32193,30,20-03-29
