tweet,weight,duration
trump,4304712,645
china,1663688,660
jimin,1054225,555
babu,997225,540
biden,996461,300
LDP,989273,105
got,950819,15
jungkook,914925,480
gizelly,820669,270
america,818844,540
taehyung,764213,210
amazon,704694,735
google,677965,165
spotify,535740,585
spain,485673,660
apple,463333,75
mexico,407337,465
jesus,405826,615
yoongi,385748,285
democrats,371202,210
n g,338154,15
venezuela,322543,420
michigan,318829,435
bernie,311143,435
government heel,293764,360
whats app,283278,510
globe,259671,270
maria,255801,375
globe,251304,15
phone e,250614,480
manu,246419,285
broadcasting,239038,495
mike,236330,195
every date j b,232917,390
lucas,225807,585
thelma,217062,120
republicans,215237,90
remember 0416,212205,450
lucas,211607,15
insta,204696,600
daniel,202728,315
phone,200287,840
alex,197683,495
canada,196102,375
jack,193910,345
disney,193728,435
michael,191951,90
johnny,188302,45
world health organization,188154,75
camila,184433,330
chile,183352,300
cuomo,182466,90
florida,178919,435
california,178422,165
team b side,175437,135
nchez,173297,30
colombia,172716,300
Jaihyun,170990,195
africa,169964,90
mandetta,156198,285
pakistan,154334,315
masia terhislerdurdurul,150421,60
jisung,149852,225
fora gizellly,143504,105
nigeria,142661,555
argentina,136327,285
ahit ol ya r b,135579,60
They sleep,134119,195
nigeria,132494,15
thistles b,131240,510
doyoung,131065,45
harry potter,127534,75
yes,126021,150
shim sang jung,125058,285
australia,123311,315
italy,122738,15
j e n,122135,45
drake,122107,720
wonho,121978,150
pechinoexpress,117610,225
london,117220,90
taylor,116957,30
pyong,116468,300
peach seungsik day,114757,240
,113932,120
germany,113920,615
days to n b n,105804,195
tiago,102516,270
kevin,101489,15
instagram,101298,375
camila,100603,15
bailout humans,99635,135
bailouthumans,97544,315
carol,97329,285
absolute lee seunghoon wait,96828,240
gabi,96389,435
Jeno,95501,30
kobe,90957,465
portfolio day,89439,120
books,88954,165
chicago,88567,165
nestle icecreamx ohm fluke,86051,150
snapchat,85218,240
gabriel,82717,420
wilson,81192,90
Zendaya,80635,30
xbox,80387,30
julia,79629,330
luke,79613,90
sewol ferry disaster cycle,77810,45
julia,77810,60
Apr 15,77753,450
flay,77130,45
perceives sussun cemal,76425,105
Pogba,75824,180
marcela,75480,375
scotland,74821,120
vince,73241,285
browns,71697,435
warren,71207,195
avenida brasil,70703,195
b g b c l h b r l,68950,285
,67093,225
star wars,66993,180
amanda,65257,270
comeback,60992,225
ekreme z rn k yok,60948,540
liverpool,60920,30
compare cake,60450,390
sik n e,59787,45
dear young love,57173,90
tooth,56871,150
britain,56834,45
Rafael Portugal,55837,375
tankatamilanvijay,55468,15
,55250,285
mariana,54927,60
flamengo,54225,150
exit investigation,54100,375
lula,53192,300
global repentance call,53182,30
tinder,53013,405
tinder,52204,90
arsenal,51876,105
turnout,51447,90
Fernanda,50759,225
jake,50613,90
red,50496,135
tierra de nadie,50050,120
anderson,49874,75
kanye,49304,420
lana,48613,60
daegu gyeongbuk,47562,120
okullara l n,47352,435
lomotif,47109,525
,46988,300
l love v,46078,210
operation gridlock,45569,45
stay home concert,45186,255
liu kun,43558,195
confederate,43191,45
