violence & war;Event / subtopic;Hashtags;;;;;;;;;;;;;;;;;;;;;;
culture & sports;Eurovision;"#eurovision
#esc
#junioreurovision
#eurovisionsongcontest";;;;;;;;;;;;;;;;;;;;;;
culture & sports;Fake news;"#pseudoscience
#fakenews";;;;;;;;;;;;;;;;;;;;;;
culture & sports;Football;"#eurocup
#EURO2020
#NationsLeague
#EuropeanQualifiers
#copaamerica
#conmebol
#copaAmérica
#uefa
#bundesliga
#football
#soccer
#nfl
#sports
#futbol
#fifa
#sport
#calcio
#premierleague
#messi
#championsleague
#ronaldo
#futebol
#cr
#seriea
#realmadrid
#nike
#goal
#laliga
#neymar
#juventus
#adidas
#cristianoronaldo
#bundesliga
#training
#ball
#footballplayer
#ultras
#liverpool
#goals
#futsal
#fut
#ligue
#americanfootball
#foot
#footballer
#manchesterunited
#footballseason
footballgame
footballplayer
#footballer";;;;;;;;;;;;;;;;;;;;;;
culture & sports;Olympics;"#olympics
#olympicgames
#olympic
#winterolympics
#roadtotokyo";;;;;;;;;;;;;;;;;;;;;;
culture & sports;Tour de France;"#tourdefrance
#cycling
#tdf
#ciclismo
#bike
#giroditalia
#cyclinglife
#france
#velo
#cyclisme
#procycling
#cyclingphotos
#roadbike
#cyclist
#bikelife
#roadcycling
#bicycle
#letour
#mavic
#instacycling
#giro
#bici
#bikeporn
#girodeitalia
#vuelta
#cycle";;;;;;;;;;;;;;;;;;;;;;
culture & sports;Celebrities;"#keepingupwiththekardashians
#stormi
#northwest
#beyonce
#stormiwebster
#kanyewest
#travisscott
#kylieskin
#chicagowest
#kardashian
#kyliejenner
#kimkardashian
#kendalljenner
#jenner
#khloekardashian
#kourtneykardashian
#krisjenner
#kuwtk
#kardashians
#kylie
#justinbieber
#gigihadid
#arianagrande
#gaga
#ladygaga
#dualipa
#arianagrande
Tame Impala
Stranger Things
#selenagomez
#dualipafans
#taylorswift
#dualipaedit
#music
#billieeilish
#ritaora
#dua
#gigihadid
#camilacabello
#bts
#kpop
#jungkook
#jimin
#blackpink
#suga
#jin
#jhope
#exo
#taehyung
#btsarmy
#v
#bangtansonyeondan
#rm
#bangtanboys
#kimtaehyung
#parkjimin
#jeonjungkook
#minyoongi
#bt
#bangtan
#kimseokjin
#kimnamjoon
#redvelvet
#namjoon
#junghoseok
#yoongi
#1DOnlineConcertStayAtHome";;;;;;;;;;;;;;;;;;;;;;
culture & sports;SuperBowl;"#SuperBowl
#nfl 
#nfldraft 
#chiefs 
#touchdown 
#nflnews 
#nflplayoffs
#superbowlliv 
#sanfrancisco 
#americanfootball 
#superbowlsunday 
#patriots 
#nflfootball 
#kansascitychiefs
#superbowlparty 
#madden 
#kansascity 
#nflmemes 
#americanfootball
#superbowlsunday
#superbowlchamps
#superbowlbound	
#superbowl53";;;;;;;;;;;;;;;;;;;;;;
environment;Natural disaster in Bangladesh;"#Amphan
#DidiAchheChintaNei
#SSC_UFM_ROWLATT_ACT
#RedVolunteers";;;;;;;;;;;;;;;;;;;;;;
environment;Natural disaster in Mexico ;"#earthquake
#Terremoto
#Temblor
#Sismo
#Oaxaca";;;;;;;;;;;;;;;;;;;;;;
environment;Environmental disaster in Australia;"#australianbushfires
#fires
#nswbushfires
#koala
#smoke
#climateemergency
#prayforaustralia
#nswrfs
#australiabushfires
#australiafires
#drought
#totalfireban
#globalwarming
#watchandact
#ses
#rfs
#newsouthwales";;;;;;;;;;;;;;;;;;;;;;
environment;Natural disaster in India;"#nisarga
#nisargacyclon";;;;;;;;;;;;;;;;;;;;;;
environment;Environmental disaster in India;#LGPolymers;;;;;;;;;;;;;;;;;;;;;;
environment;Environmental disaster in Russia;"#ArcticOilSpill
#Ambarnaya
#NorilskNickel ";;;;;;;;;;;;;;;;;;;;;;
environment;Natural disaster in Somalia;"#Beledweyne
#Jowhar
#flood";;;;;;;;;;;;;;;;;;;;;;
environment;Volcano eruption in Philippines;"#taalvolcano
#taal
#luzon
#volcano";;;;;;;;;;;;;;;;;;;;;;
festivities & cults;Oscars;"#oscars 
#academyawards 
#oscar
#hollywood 
#parasite 
#goldenglobes 
#redcarpet 
#joker 
#cinematography 
#joaquinphoenix 
#grammys
#theoscars  
#astarisborn
#bhfyp
#bestpicture
#bestactor
#bestactress";;;;;;;;;;;;;;;;;;;;;;
