01/01/2020;Hong Kong;social issues;Hong Kong Protests;Protesters take part in the annual new year day march with organisers claiming over one million people took part.;"#hongkongprotests
#hkpolicebrutality
#hongkongprotesters
#standwithhongkong
#standwithhonkong
#hongkongpolicestate
#hkpoliceterrorists
#hongkongers
#hongkongprotest
#ccpchinajudgmentday
#hkpoliceterrorists
#hkpolicebrutality
#chinazi
#ccp_is_terrorist
#antiELAB
#HongKongProtests
#HKProtests
#FreeHongKong
#反送中
#NoExtraditionToChina
#LiberateHongKong
#RevolutionOfOurTimes
#FightForFreedom
#DemocracyForHK
#HKResist
#SaveHK
#StandWithHK
#Shout4HK
#StandWithHK
#PressFreedom
#5DemandsNot1Less
#FightForFreedom
#followbackhongkong
#NeverGiveUp
#NeverForget
#hkpolicebrutality
#HKPoliceTerrorists
#MagnitskyActNow
#HongKong
#Eye4HK
#EyeforHK
#GloryToHongKong
#GoodMourningCCP
#NotMyNationalDay
#70YearsOfShame
#AntiMaskLaw
#Mask4HK
#FreeKingKong
#LoveKingKong
#SaveKingKong
#BeWater
#BeWaterMyFriend
#BoycottBeijing2022
#Chinazi2022
#BoycottChina
#ResistBeijing
#AntiCCP
#XinnieThePooh
#BoycottTencent
#BoycottHuawei
#BoycottQQ
#BoycottBaidu
#BoycottWechat
#XinnieThePooh
#MeiForHK
#FreeKingKong
#D7777
#Chinazi
#QuitTikTok
#BoycottMulan
#BoycottBlizzard
#BandinChina
#CommunistNBA";;;;;;;;;;;;;;;;;;;;;;
02/01/2020;Australia;environment;Fires in Australia;The government of New South Wales, Australia, declares a state of emergency whilst the government of Victoria, Australia declares a state of disaster amid large bushfires that have killed as many as 500 million animals;"#australianbushfires
#fires
#nswbushfires
#koala
#smoke
#climateemergency
#prayforaustralia
#nswrfs
#australiabushfires
#australiafires
#drought
#totalfireban
#globalwarming
#watchandact
#ses
#rfs
#newsouthwales";;;;;;;;;;;;;;;;;;;;;;
03/01/2020;Iraq;violence & war;Persian Gulf crisis;A U.S. drone strike at Baghdad International Airport kills Iranian general Qasem Soleimani and Iraqi paramilitary leader Abu Mahdi al-Muhandis;"#war
#tehran
#qasem
#qasemsoleimani
#freeiran
#qanon
#khamenei
#news
#wwiii
#foreignpolicy
#eeuu
#worldwar
#democrats
#irak
#meme
#soleimani";;;;;;;;;;;;;;;;;;;;;;
04/01/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
05/01/2020;Libyan;;Libyan Civil War;Turkish President Recep Tayyip Erdoğan announces that Turkish troops will be deployed to Libya on behalf of the United Nations-backed Government of National Accord.[11];;;;;;;;;;;;;;;;;;;;;;;
06/01/2020;;;;;;;;;;;;;;;;;;;;;;;;;;;
07/01/2020;Iran;violence & war;Persian Gulf crisis;56 people are reported killed and over 200 injured in a crush at the funeral of general Qasem Soleimani in the city of Kerman, Iran.;;;;;;;;;;;;;;;;;;;;;;;
08/01/2020;Iraq;violence & war;Persian Gulf crisis;Iran launches ballistic missiles at two Iraqi military bases hosting American soldiers, injuring multiple personnel;;;;;;;;;;;;;;;;;;;;;;;
08/01/2020;Iran;violence & war;Persian Gulf crisis;Ukraine International Airlines Flight 752 is shot down by Iran's armed forces shortly after takeoff from Tehran Imam Khomeini Airport, killing all 176 people on board.;Airlines Flight 752;;;;;;;;;;;;;;;;;;;;;;
09/01/2020;Global;science & technology;Space;A rare, circumbinary planet called TOI 1338-b is discovered.;#toi1338b;;;;;;;;;;;;;;;;;;;;;;
09/01/2020;Nigeria;violence & war;Daesh;ISIL militants assault a Nigerien military base at Chinagodrar, killing at least 89 Nigerien soldiers.;"#extremism
#islam
#messiahfoundationinternational
#islamism
#mehdifoundation
#saudiarabia
#islamicstate
#wahhabism
#wahhabi
#fanaticism
#iamauniversalsufi
#radicalislam
#lordrariaz
#charliehebdorally";;;;;;;;;;;;;;;;;;;;;;
