tweet,weight,duration,date
Environmental disaster in Australia,21998,180,20-01-03
Persian Gulf crisis,2636480,855,20-01-03
Persian Gulf crisis,314676,570,20-01-03
Environmental disaster in Australia,120026,30,20-01-04
Environmental disaster in Australia,96287,60,20-01-04
Environmental disaster in Australia,109148,120,20-01-05
Natural disaster in Mexico ,-1,90,20-01-05
Natural disaster in Mexico ,-1,150,20-01-05
Persian Gulf crisis,20954,90,20-01-08
Olympics,24238,15,20-01-12
Volcano eruption in Philippines,93445,15,20-01-12
Natural disaster in Mexico ,12824,120,20-01-13
Natural disaster in Mexico ,13241,30,20-01-13
Space,-1,105,20-01-19
Natural disaster in Mexico ,21688,285,20-01-22
COVID,11661,45,20-01-23
COVID,123335,525,20-01-23
COVID,134939,120,20-01-24
COVID,52364,330,20-01-25
COVID,64217,150,20-01-26
COVID,63021,15,20-01-26
COVID,54708,180,20-01-26
COVID,38424,15,20-01-26
Israeli–Palestinian conflict,287971,375,20-01-28
Israeli–Palestinian conflict,310688,165,20-01-29
COVID,247621,390,20-01-30
COVID,144784,90,20-01-30
COVID,69447,135,20-01-30
COVID,97629,180,20-01-31
Brexit,169172,615,20-01-31
COVID,-1,75,20-01-31
COVID,-1,45,20-01-31
Women rights in Sudan,24092,330,20-02-06
COVID,50373,735,20-02-21
COVID,52699,90,20-02-22
COVID,60993,600,20-02-23
Space,-1,105,20-02-23
COVID,62350,90,20-02-24
COVID,10567,315,20-02-24
COVID,145419,210,20-02-24
COVID,12380,75,20-02-25
COVID,44616,390,20-02-26
COVID,58054,375,20-02-26
COVID,-1,15,20-02-26
COVID,23909,30,20-02-26
COVID,75086,285,20-02-27
COVID,25219,105,20-02-27
COVID,15059,60,20-02-27
COVID,94989,450,20-02-28
COVID,52402,15,20-02-28
COVID,32498,105,20-02-28
Afghanistan war,26177,45,20-02-29
COVID,45094,375,20-03-02
COVID,144999,615,20-03-02
COVID,-1,60,20-03-02
COVID,-1,75,20-03-02
COVID,168977,135,20-03-03
COVID,23575,30,20-03-03
COVID,34715,330,20-03-03
COVID,17878,15,20-03-03
Football,15819,210,20-03-03
COVID,-1,105,20-03-03
COVID,203556,270,20-03-03
COVID,227951,105,20-03-04
COVID,15725,60,20-03-04
COVID,64142,570,20-03-04
COVID,12726,105,20-03-04
COVID,17154,300,20-03-04
COVID,105804,630,20-03-05
COVID,26135,30,20-03-05
COVID,88288,480,20-03-05
COVID,-1,105,20-03-06
COVID,-1,90,20-03-06
COVID,-1,135,20-03-06
COVID,10548,195,20-03-07
Space,-1,60,20-03-07
COVID,305834,255,20-03-09
COVID,15146,60,20-03-09
COVID,17670,30,20-03-09
COVID,44610,420,20-03-10
Natural disaster in Mexico ,-1,165,20-03-10
COVID,24300,30,20-03-10
COVID,-1,105,20-03-10
COVID,48514,330,20-03-10
COVID,224039,120,20-03-10
COVID,247162,240,20-03-11
COVID,49306,15,20-03-11
COVID,19263,15,20-03-11
COVID,42874,195,20-03-11
COVID,86508,135,20-03-12
COVID,220840,435,20-03-12
COVID,76063,30,20-03-12
COVID,102410,570,20-03-12
COVID,40526,285,20-03-12
COVID,1266254,735,20-03-12
COVID,76252,345,20-03-12
COVID,1354284,75,20-03-13
COVID,77470,15,20-03-13
COVID,112764,90,20-03-13
COVID,40911,90,20-03-13
COVID,131371,75,20-03-13
COVID,26200,300,20-03-13
COVID,-1,30,20-03-13
COVID,17805,285,20-03-13
COVID,15508,240,20-03-13
COVID,53553,255,20-03-13
COVID,12114,15,20-03-13
COVID,210285,615,20-03-13
COVID,51878,165,20-03-13
COVID,21303,405,20-03-13
COVID,13174,165,20-03-13
COVID,282390,225,20-03-14
COVID,14488,75,20-03-14
