tweet,weight,duration,date
environment,21998,180,20-01-03
violence & war,2636480,855,20-01-03
violence & war,314676,570,20-01-03
environment,120026,30,20-01-04
environment,96287,60,20-01-04
environment,109148,120,20-01-05
environment,-1,90,20-01-05
environment,-1,150,20-01-05
violence & war,20954,90,20-01-08
culture,24238,15,20-01-12
environment,93445,15,20-01-12
environment,12824,120,20-01-13
environment,13241,30,20-01-13
environment,-1,105,20-01-19
environment,21688,285,20-01-22
health,11661,45,20-01-23
health,123335,525,20-01-23
health,134939,120,20-01-24
health,52364,330,20-01-25
health,64217,150,20-01-26
health,63021,15,20-01-26
health,54708,180,20-01-26
health,38424,15,20-01-26
politics & economy,287971,375,20-01-28
politics & economy,310688,165,20-01-29
health,247621,390,20-01-30
health,144784,90,20-01-30
health,69447,135,20-01-30
health,97629,180,20-01-31
politics & economy,169172,615,20-01-31
health,-1,75,20-01-31
health,-1,45,20-01-31
social issues,24092,330,20-02-06
health,50373,735,20-02-21
health,52699,90,20-02-22
health,60993,600,20-02-23
environment,-1,105,20-02-23
health,62350,90,20-02-24
health,10567,315,20-02-24
health,145419,210,20-02-24
health,12380,75,20-02-25
health,44616,390,20-02-26
health,58054,375,20-02-26
health,-1,15,20-02-26
health,23909,30,20-02-26
health,75086,285,20-02-27
health,25219,105,20-02-27
health,15059,60,20-02-27
health,94989,450,20-02-28
health,52402,15,20-02-28
health,32498,105,20-02-28
violence & war,26177,45,20-02-29
health,45094,375,20-03-02
health,144999,615,20-03-02
health,-1,60,20-03-02
health,-1,75,20-03-02
health,168977,135,20-03-03
health,23575,30,20-03-03
health,34715,330,20-03-03
health,17878,15,20-03-03
culture,15819,210,20-03-03
health,-1,105,20-03-03
health,203556,270,20-03-03
health,227951,105,20-03-04
health,15725,60,20-03-04
health,64142,570,20-03-04
health,12726,105,20-03-04
health,17154,300,20-03-04
health,105804,630,20-03-05
health,26135,30,20-03-05
health,88288,480,20-03-05
health,-1,105,20-03-06
health,-1,90,20-03-06
health,-1,135,20-03-06
health,10548,195,20-03-07
environment,-1,60,20-03-07
health,305834,255,20-03-09
health,15146,60,20-03-09
health,17670,30,20-03-09
health,44610,420,20-03-10
environment,-1,165,20-03-10
health,24300,30,20-03-10
health,-1,105,20-03-10
health,48514,330,20-03-10
health,224039,120,20-03-10
health,247162,240,20-03-11
health,49306,15,20-03-11
health,19263,15,20-03-11
health,42874,195,20-03-11
health,86508,135,20-03-12
health,220840,435,20-03-12
health,76063,30,20-03-12
health,102410,570,20-03-12
health,40526,285,20-03-12
health,1266254,735,20-03-12
health,76252,345,20-03-12
health,1354284,75,20-03-13
health,77470,15,20-03-13
health,112764,90,20-03-13
health,40911,90,20-03-13
health,131371,75,20-03-13
health,26200,300,20-03-13
health,-1,30,20-03-13
health,17805,285,20-03-13
health,15508,240,20-03-13
health,53553,255,20-03-13
health,12114,15,20-03-13
health,210285,615,20-03-13
health,51878,165,20-03-13
health,21303,405,20-03-13
health,13174,165,20-03-13
health,282390,225,20-03-14
health,14488,75,20-03-14
health,23853,90,20-03-14
health,43082,90,20-03-14
health,-1,15,20-03-14
health,-1,105,20-03-14
health,247627,510,20-03-14
health,80586,120,20-03-14
health,36610,180,20-03-14
health,69459,315,20-03-15
health,18238,150,20-03-15
health,119343,660,20-03-15
health,49937,180,20-03-15
health,-1,15,20-03-15
health,70497,180,20-03-15
health,16896,75,20-03-15
health,-1,120,20-03-15
health,36583,90,20-03-15
health,-1,45,20-03-15
health,124795,60,20-03-16
health,19088,60,20-03-16
health,117629,390,20-03-16
politics & economy,52715,540,20-03-16
health,19785,45,20-03-16
health,12346,75,20-03-16
health,26145,405,20-03-16
health,168851,945,20-03-16
health,168811,570,20-03-16
health,28380,135,20-03-16
health,139815,300,20-03-16
health,102960,180,20-03-16
health,44563,120,20-03-16
health,-1,45,20-03-16
health,96299,345,20-03-17
health,183860,90,20-03-17
health,147664,60,20-03-17
health,147865,285,20-03-17
health,-1,255,20-03-17
health,13742,105,20-03-17
health,-1,60,20-03-17
health,15813,300,20-03-17
environment,-1,180,20-03-17
environment,-1,60,20-03-17
environment,-1,15,20-03-17
environment,-1,30,20-03-17
culture,-1,15,20-03-17
health,-1,30,20-03-17
health,13419,330,20-03-18
health,-1,45,20-03-18
health,63373,75,20-03-18
health,67687,375,20-03-18
environment,28440,360,20-03-18
environment,-1,120,20-03-19
health,34870,285,20-03-19
health,51140,495,20-03-19
health,57363,75,20-03-20
health,-1,45,20-03-20
health,-1,240,20-03-20
health,66409,270,20-03-20
health,-1,225,20-03-20
health,29455,195,20-03-20
health,12936,135,20-03-20
health,243610,675,20-03-20
health,52983,480,20-03-20
health,-1,105,20-03-20
health,36539,60,20-03-20
health,38611,15,20-03-20
health,-1,60,20-03-21
health,78994,60,20-03-21
health,39733,255,20-03-21
health,68752,300,20-03-21
health,34409,375,20-03-21
health,50778,150,20-03-22
health,240733,240,20-03-22
health,40878,480,20-03-22
health,22114,405,20-03-22
health,236774,300,20-03-22
health,50585,45,20-03-22
health,22034,75,20-03-22
health,20545,150,20-03-22
health,14487,60,20-03-22
health,-1,165,20-03-22
health,191304,150,20-03-22
health,28880,435,20-03-22
health,64562,255,20-03-22
health,177506,435,20-03-23
health,151690,630,20-03-23
health,127518,720,20-03-23
health,31989,105,20-03-23
health,137649,525,20-03-23
health,-1,45,20-03-23
health,70969,135,20-03-23
health,24516,90,20-03-23
health,-1,45,20-03-23
health,69242,15,20-03-23
health,85279,210,20-03-24
health,41247,300,20-03-24
health,155555,60,20-03-24
health,226577,1080,20-03-24
health,128684,480,20-03-24
health,74276,195,20-03-24
health,62861,255,20-03-24
health,46257,420,20-03-24
health,47153,210,20-03-24
health,-1,15,20-03-24
health,47551,15,20-03-24
health,144368,195,20-03-25
health,111620,270,20-03-25
health,57218,15,20-03-25
health,135222,60,20-03-25
environment,-1,45,20-03-25
health,66486,285,20-03-25
health,46989,30,20-03-25
health,225164,300,20-03-25
health,164546,225,20-03-25
health,20818,255,20-03-26
health,43891,285,20-03-26
health,15691,360,20-03-26
health,69388,375,20-03-26
health,36854,30,20-03-26
health,26181,165,20-03-26
health,31769,45,20-03-26
health,36123,105,20-03-27
health,239156,30,20-03-27
health,61720,45,20-03-27
health,274482,975,20-03-27
health,17787,240,20-03-27
health,191809,120,20-03-27
health,14111,255,20-03-27
health,37132,285,20-03-27
religion,11869,45,20-03-27
health,184311,600,20-03-28
health,64286,510,20-03-28
environment,-1,165,20-03-28
health,60656,390,20-03-28
health,45871,195,20-03-28
health,12094,330,20-03-29
health,84884,810,20-03-29
health,-1,15,20-03-29
health,20747,450,20-03-29
health,32193,30,20-03-29
health,93622,120,20-03-30
health,23165,75,20-03-30
health,172606,810,20-03-30
health,154267,300,20-03-30
health,21701,75,20-03-30
health,11397,345,20-03-31
environment,16106,210,20-04-02
environment,-1,30,20-04-02
health,32570,15,20-04-02
health,139142,360,20-04-02
environment,11974,300,20-04-02
environment,26878,270,20-04-04
health,376340,690,20-04-05
health,83163,255,20-04-05
health,74131,195,20-04-05
health,39454,30,20-04-05
health,68535,105,20-04-05
health,1522477,645,20-04-06
health,75262,585,20-04-06
health,11040,390,20-04-06
health,107291,30,20-04-06
environment,-1,30,20-04-07
environment,-1,135,20-04-07
health,190181,210,20-04-07
health,21874,525,20-04-07
health,-1,15,20-04-09
health,16073,90,20-04-09
health,47976,225,20-04-09
health,49634,105,20-04-10
health,49026,15,20-04-10
health,57541,165,20-04-10
environment,57323,345,20-04-12
culture,10750,15,20-04-12
health,82319,135,20-04-14
environment,-1,195,20-04-14
health,-1,15,20-04-14
environment,-1,45,20-04-16
health,23526,30,20-04-17
health,523404,450,20-04-18
health,1365171,405,20-04-19
violence & war,17770,225,20-04-20
politics & economy,23590,30,20-04-21
politics & economy,-1,45,20-04-21
environment,41139,105,20-04-22
health,29594,165,20-04-27
health,60892,225,20-04-27
environment,19660,15,20-04-28
health,21573,75,20-04-30
health,29353,240,20-05-01
health,25948,15,20-05-01
health,53475,150,20-05-01
health,13847,165,20-05-04
environment,-1,150,20-05-05
social issues,22924,150,20-05-05
social issues,88329,525,20-05-06
social issues,50680,375,20-05-06
social issues,125514,510,20-05-07
environment,20760,210,20-05-09
environment,-1,255,20-05-11
environment,-1,45,20-05-11
culture,11586,165,20-05-11
health,-1,60,20-05-12
culture,39168,225,20-05-12
culture,39648,90,20-05-13
politics & economy,51244,30,20-05-15
culture,107034,420,20-05-16
culture,241554,315,20-05-16
culture,249421,150,20-05-17
health,57805,660,20-05-17
health,24037,300,20-05-17
health,66201,105,20-05-18
health,41747,120,20-05-18
health,112446,435,20-05-19
environment,-1,30,20-05-21
environment,14786,45,20-05-22
environment,18624,225,20-05-22
environment,-1,15,20-05-22
environment,-1,45,20-05-23
social issues,51074,255,20-05-26
social issues,34475,165,20-05-26
social issues,177548,375,20-05-26
social issues,96479,285,20-05-26
social issues,518846,600,20-05-27
social issues,93150,75,20-05-27
social issues,98295,330,20-05-27
social issues,247754,450,20-05-27
environment,148678,180,20-05-27
environment,18741,60,20-05-27
environment,159963,165,20-05-28
social issues,2201954,225,20-05-28
politics & economy,63379,105,20-05-28
environment,37349,375,20-05-29
environment,-1,75,20-05-30
